Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
3447,Burge,10364,85.94%,8.22%,0.76%,0.64%,2.13%,2.31%
3460,Bagwell,10324,89.69%,5.85%,0.44%,0.51%,1.40%,2.10%
3522,Broome,10133,80.29%,15.21%,0.40%,0.60%,1.73%,1.77%
3527,Betz,10120,94.51%,1.19%,0.60%,0.18%,1.22%,2.31%
3534,Boudreau,10103,95.26%,0.33%,0.68%,0.39%,1.23%,2.12%
3538,Box,10098,82.98%,10.98%,0.60%,1.32%,1.87%,2.25%
3552,Bills,10051,81.14%,13.32%,0.57%,0.82%,1.78%,2.38%
3563,Blaylock,10008,77.24%,16.90%,0.45%,1.38%,1.82%,2.22%
3575,Beckham,9960,76.02%,18.78%,0.38%,0.47%,1.80%,2.55%
3630,Broyles,9781,87.47%,7.35%,0.64%,0.72%,1.79%,2.03%
3660,Binder,9720,91.10%,4.80%,0.73%,0.14%,1.30%,1.92%
3677,Bohannon,9663,80.59%,14.25%,0.41%,0.73%,1.76%,2.26%
3691,Brandenburg,9624,94.36%,0.88%,0.68%,0.41%,1.47%,2.21%
3693,Bernier,9614,88.62%,3.22%,0.59%,0.44%,1.84%,5.28%
3701,Bivens,9603,63.43%,30.98%,0.46%,0.52%,2.23%,2.38%
3762,Batchelor,9417,81.30%,13.62%,0.52%,0.42%,1.95%,2.18%
3793,Bolen,9323,92.08%,3.19%,0.50%,0.64%,1.63%,1.95%
3807,Bratcher,9301,79.20%,15.58%,0.33%,0.66%,2.13%,2.11%
3809,Bratton,9300,75.82%,18.40%,0.52%,0.38%,2.19%,2.70%
3822,Bohn,9272,94.80%,0.40%,0.69%,0.52%,1.21%,2.38%
3823,Bourne,9270,74.46%,18.23%,1.00%,0.55%,2.61%,3.15%
3840,Biddle,9219,86.08%,9.17%,0.71%,0.55%,1.88%,1.62%
3841,Brill,9215,93.56%,0.58%,1.09%,0.59%,1.51%,2.68%
3847,Beall,9202,90.35%,3.12%,0.74%,0.88%,1.54%,3.37%
3854,Bader,9197,93.76%,0.57%,1.47%,0.25%,1.89%,2.07%
3865,Buss,9177,95.65%,0.58%,0.75%,0.27%,0.88%,1.86%
3870,Bittner,9163,95.56%,0.40%,0.53%,0.29%,1.18%,2.03%
3914,Breedlove,9075,77.88%,16.19%,0.40%,1.10%,2.15%,2.28%
3928,Borders,9053,72.56%,23.13%,0.47%,0.23%,1.60%,2.00%
3940,Barnhill,9040,83.51%,11.73%,0.42%,0.67%,1.90%,1.77%
3955,Beattie,8993,90.53%,3.20%,0.85%,0.63%,1.69%,3.10%
3961,Bourque,8973,95.74%,0.59%,0.45%,0.28%,1.01%,1.93%
3972,Batson,8951,77.61%,17.14%,0.47%,0.68%,2.17%,1.93%
3986,Bergstrom,8908,95.40%,0.24%,0.73%,0.35%,1.37%,1.92%
4009,Burnside,8859,68.77%,24.54%,0.47%,2.02%,2.14%,2.05%
4029,Bedford,8814,65.49%,27.96%,0.48%,0.78%,2.59%,2.71%
4032,Bartels,8809,94.72%,0.77%,0.77%,0.45%,1.14%,2.15%
4036,Basham,8806,91.94%,2.98%,0.43%,0.35%,1.51%,2.79%
4051,Back,8762,87.42%,0.66%,6.55%,0.98%,1.47%,2.91%
4063,Buffington,8738,86.85%,8.35%,0.39%,1.01%,1.38%,2.01%
4065,Belt,8737,80.81%,12.89%,0.69%,1.60%,1.81%,2.21%
