Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
7736,Vanness,4291,90.26%,4.36%,0.49%,0.28%,2.00%,2.61%
8082,Villavicencio,4102,7.02%,0.27%,5.80%,0.17%,0.41%,86.32%
8189,Vella,4051,86.87%,0.59%,1.63%,0.22%,0.94%,9.75%
8304,Vannoy,3991,88.30%,5.54%,0.50%,0.80%,2.28%,2.58%
8383,Vierra,3949,63.21%,0.76%,6.63%,0.53%,10.56%,18.31%
8392,Valera,3944,9.99%,1.29%,19.52%,(S),(S),67.93%
8467,Vineyard,3901,89.41%,4.67%,0.59%,0.87%,2.13%,2.33%
8470,Virgen,3898,2.57%,0.44%,0.13%,0.15%,0.21%,96.51%
8562,VanCleave,3847,90.75%,3.28%,0.57%,0.29%,2.00%,3.12%
8694,Veras,3776,7.60%,1.19%,0.66%,0.16%,0.24%,90.15%
8697,Vidales,3774,4.29%,0.98%,0.29%,(S),(S),94.25%
8801,Vogler,3721,95.24%,0.21%,0.70%,0.38%,1.45%,2.02%
8802,VanHook,3720,77.20%,17.80%,0.67%,0.27%,1.85%,2.20%
8812,Villela,3716,6.70%,0.30%,0.81%,(S),(S),91.95%
8834,Vaillancourt,3709,96.01%,0.30%,0.35%,0.16%,1.56%,1.62%
8854,Villafuerte,3700,3.30%,0.35%,10.32%,0.14%,0.81%,85.08%
8890,Vereen,3683,21.45%,72.96%,0.14%,0.27%,3.07%,2.12%
8946,Villagrán,3659,4.78%,(S),0.33%,(S),0.16%,94.51%
9085,Varnado,3597,43.95%,50.74%,(S),(S),1.70%,3.11%
9113,VanHoose,3585,94.14%,1.73%,0.39%,0.64%,1.98%,1.12%
9132,Valtierra,3576,4.95%,0.20%,(S),0.28%,(S),94.30%
9227,VanDusen,3529,93.96%,1.19%,0.54%,0.45%,1.79%,2.07%
9338,Vallejos,3487,10.64%,0.23%,4.22%,0.60%,0.95%,83.37%
9375,Vences,3470,1.70%,(S),(S),0.14%,(S),97.95%
9378,VanZandt,3469,86.77%,7.75%,0.86%,0.35%,1.90%,2.36%
9529,Violette,3411,93.90%,0.88%,0.73%,0.44%,1.32%,2.73%
9672,VanLandingham,3355,89.93%,4.86%,0.83%,0.66%,1.61%,2.12%
9698,Vanzant,3345,79.19%,14.20%,0.27%,0.84%,2.81%,2.69%
9701,VanCamp,3344,95.07%,0.60%,0.84%,0.30%,1.67%,1.53%
9728,Vale,3334,59.15%,3.06%,3.48%,0.48%,1.32%,32.51%
9790,Vara,3307,28.12%,0.51%,2.81%,0.36%,0.73%,67.46%
9810,Vos,3300,95.85%,0.52%,0.58%,0.24%,1.03%,1.79%
9854,Velazco,3282,3.35%,0.24%,2.16%,0.00%,0.15%,94.09%
9912,Vyas,3259,2.36%,0.28%,93.00%,0.55%,3.01%,0.80%
10006,Vaden,3222,70.36%,24.64%,0.40%,0.50%,1.40%,2.70%
10015,Vandeventer,3219,94.32%,0.34%,0.71%,0.87%,1.40%,2.36%
10050,Vassallo,3205,88.02%,0.25%,0.62%,0.00%,0.56%,10.55%
