Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
5001,Lora,7030,10.00%,1.72%,1.07%,0.13%,0.50%,86.59%
5058,Lock,6936,76.33%,10.86%,6.93%,0.89%,1.96%,3.03%
5070,Leake,6915,69.78%,24.56%,0.38%,0.65%,1.92%,2.72%
5105,Large,6859,90.25%,2.22%,0.51%,1.56%,1.92%,3.54%
5110,Lundquist,6853,95.43%,0.15%,0.66%,0.18%,1.40%,2.19%
5114,Lamont,6845,82.24%,8.69%,0.47%,3.30%,1.72%,3.58%
5127,Lien,6827,64.64%,0.25%,31.40%,0.45%,1.70%,1.55%
5140,LaRosa,6808,73.25%,1.31%,5.08%,0.16%,1.69%,18.51%
5162,Loftis,6777,87.56%,6.85%,0.44%,1.05%,2.14%,1.96%
5191,Loftin,6739,77.22%,17.01%,0.43%,0.56%,2.42%,2.36%
5206,Lash,6712,84.51%,10.37%,0.64%,0.30%,1.67%,2.52%
5224,Lavin,6679,86.08%,0.75%,1.12%,0.19%,1.00%,10.85%
5230,Lashley,6669,68.12%,26.42%,0.33%,0.57%,1.84%,2.71%
5232,Laurent,6665,54.19%,37.67%,1.08%,0.29%,1.88%,4.89%
5242,La,6655,6.00%,0.99%,88.91%,0.09%,1.76%,2.25%
5281,Leeper,6593,82.80%,10.77%,0.61%,0.50%,2.70%,2.62%
5293,Leija,6580,4.97%,0.17%,0.24%,0.08%,0.17%,94.38%
5302,Lowell,6569,92.92%,1.55%,0.67%,0.55%,1.57%,2.74%
5322,Ladner,6551,93.94%,3.07%,0.23%,0.34%,1.02%,1.40%
5328,Lehr,6537,95.32%,0.55%,0.70%,0.28%,1.24%,1.91%
5348,Lohr,6506,95.47%,0.57%,0.52%,0.15%,1.20%,2.09%
5361,Lizarraga,6494,4.62%,0.15%,0.29%,0.23%,0.14%,94.56%
5383,Laing,6465,75.33%,17.31%,1.58%,0.14%,1.86%,3.79%
5451,Lett,6385,51.35%,43.05%,0.53%,0.38%,2.68%,2.00%
5454,Lefebvre,6381,95.53%,0.22%,0.58%,0.25%,1.25%,2.16%
5470,Larkins,6357,56.76%,36.95%,0.53%,0.36%,3.02%,2.38%
5484,Lemoine,6343,90.26%,2.65%,0.44%,0.30%,1.10%,5.25%
5489,Landaverde,6336,2.64%,0.08%,0.16%,0.13%,0.09%,96.91%
5502,Luevano,6324,4.97%,0.13%,0.13%,0.22%,0.14%,94.42%
5534,Linden,6276,89.26%,4.51%,0.81%,0.54%,1.88%,3.00%
5570,LaBelle,6242,92.82%,0.48%,0.85%,1.87%,1.71%,2.26%
5633,Lemmon,6170,90.62%,4.42%,0.50%,0.32%,1.57%,2.56%
5641,Lui,6156,4.97%,(S),90.19%,(S),3.01%,1.43%
5642,Latta,6155,83.30%,9.57%,1.48%,1.07%,1.98%,2.60%
5651,Lockard,6141,90.98%,4.12%,0.41%,0.28%,1.79%,2.43%
5654,Ligon,6140,55.41%,37.13%,2.05%,0.62%,2.62%,2.17%
5680,Lamm,6105,93.81%,0.97%,0.82%,0.29%,1.77%,2.34%
5689,Lazar,6093,93.47%,0.98%,1.69%,0.10%,1.79%,1.97%
5711,Lavelle,6074,92.84%,2.47%,0.61%,0.26%,1.40%,2.42%
5725,LeDoux,6058,83.13%,5.10%,1.17%,0.91%,2.46%,7.23%
5743,Lampkin,6034,27.53%,65.16%,0.35%,0.65%,3.96%,2.35%
5765,Luck,6008,83.92%,9.40%,2.16%,0.30%,1.80%,2.41%
5766,Leonardo,6007,52.59%,0.72%,8.07%,0.25%,1.27%,37.11%
5807,Llewellyn,5955,85.07%,9.94%,0.57%,0.29%,1.38%,2.75%
5817,Larry,5942,24.35%,67.74%,0.52%,1.88%,3.10%,2.41%
5856,Lao,5897,3.32%,0.51%,84.06%,0.17%,1.78%,10.16%
5861,Leos,5888,7.71%,0.58%,0.31%,0.34%,0.27%,90.79%
5875,Lombard,5873,82.99%,9.52%,0.94%,0.43%,2.35%,3.78%
5923,Lanza,5819,72.88%,0.79%,1.63%,0.58%,0.82%,23.29%
5931,Lally,5808,91.41%,0.86%,3.99%,0.10%,1.31%,2.32%
5935,Loeffler,5801,95.09%,0.19%,0.74%,0.19%,1.38%,2.41%
5940,Lux,5796,84.82%,1.26%,1.26%,0.26%,0.98%,11.42%
