Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
11216,Norberg,2819,94.93%,0.89%,0.71%,0.32%,1.21%,1.95%
11327,Nurse,2786,21.18%,69.02%,(S),(S),2.30%,7.00%
11335,Napoles,2784,4.85%,(S),4.67%,(S),0.50%,89.62%
11368,Nunnery,2775,68.04%,26.92%,0.25%,0.43%,1.95%,2.41%
11371,Narcisse,2774,3.46%,89.62%,(S),(S),3.17%,3.24%
11443,Nygaard,2752,94.33%,(S),1.45%,(S),1.31%,2.11%
11576,Nusbaum,2716,94.96%,(S),0.70%,(S),1.66%,2.21%
11631,Novick,2695,94.99%,(S),0.74%,(S),1.45%,2.15%
11659,Novack,2689,94.98%,0.22%,0.74%,0.30%,0.97%,2.79%
11672,Northup,2686,90.06%,0.78%,0.67%,2.05%,1.94%,4.50%
11746,Nitz,2667,95.01%,0.52%,0.82%,0.34%,1.46%,1.84%
11783,Nuckols,2659,90.56%,5.90%,0.49%,0.26%,1.84%,0.94%
11818,Nalls,2648,38.75%,56.00%,0.72%,0.26%,2.34%,1.93%
11846,Nordin,2642,91.75%,1.02%,1.36%,1.40%,1.63%,2.84%
11928,Napoleon,2624,31.67%,42.91%,5.72%,3.05%,7.51%,9.15%
11957,Narayan,2614,4.06%,1.53%,80.30%,0.27%,12.70%,1.15%
12033,Nimmo,2594,91.06%,4.16%,0.73%,0.73%,1.93%,1.39%
12064,Nott,2585,91.57%,1.32%,1.47%,0.89%,2.55%,2.21%
12124,Naber,2571,93.04%,(S),1.21%,(S),1.94%,3.11%
12127,Nath,2570,33.89%,3.27%,55.29%,(S),5.25%,(S)
12156,Noack,2563,93.60%,0.78%,0.78%,0.23%,1.33%,3.28%
12192,Noor,2555,17.03%,35.69%,39.96%,(S),6.14%,(S)
12208,Nawrocki,2551,96.16%,(S),0.55%,(S),0.74%,2.20%
12421,Nicoll,2503,91.81%,0.64%,0.44%,0.72%,1.64%,4.75%
12429,Nolin,2500,92.96%,2.04%,(S),(S),1.04%,2.96%
12454,Neubert,2492,94.90%,0.40%,0.60%,0.32%,1.85%,1.93%
12460,Ndiaye,2491,2.29%,93.86%,(S),(S),2.45%,1.08%
12566,Naples,2463,92.08%,2.44%,1.46%,(S),(S),2.64%
12696,Nakagawa,2431,4.90%,(S),80.46%,(S),11.48%,2.96%
12720,Noh,2427,3.63%,(S),88.17%,(S),1.85%,5.64%
12732,Nishimura,2424,5.90%,(S),78.38%,(S),12.00%,3.55%
12837,Neer,2398,94.20%,0.71%,1.38%,0.67%,1.00%,2.04%
13073,Nutting,2349,93.23%,0.89%,0.85%,0.64%,1.79%,2.60%
13160,Neuhaus,2324,94.06%,(S),0.73%,(S),1.38%,3.36%
13171,Nies,2321,95.22%,0.56%,0.69%,0.22%,0.99%,2.33%
13267,Norby,2299,93.30%,(S),1.57%,(S),1.87%,2.48%
13291,Norsworthy,2295,86.49%,9.50%,(S),(S),1.00%,2.53%
13300,Niemiec,2293,96.73%,(S),0.31%,(S),1.18%,1.66%
13306,Nappi,2292,95.38%,(S),0.44%,(S),0.70%,2.92%
13344,Nickson,2285,36.85%,56.81%,(S),(S),3.28%,2.45%
13370,Nanney,2279,95.35%,0.75%,0.66%,0.35%,1.32%,1.58%
