Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
15508,Jarrard,1887,93.27%,1.06%,0.26%,0.69%,2.28%,2.44%
15625,Jeanty,1870,4.17%,89.79%,0.37%,0.27%,2.83%,2.57%
15792,Jennette,1844,73.86%,20.82%,(S),(S),1.74%,2.87%
16100,Jusino,1798,8.79%,1.45%,(S),(S),0.44%,88.82%
16219,Jonson,1780,61.29%,24.83%,6.80%,0.45%,2.13%,4.49%
16616,Juergens,1726,95.48%,(S),0.46%,(S),1.51%,2.26%
16765,Jani,1704,17.19%,1.12%,77.82%,0.29%,2.76%,0.82%
16868,Jaros,1690,96.80%,0.47%,(S),(S),0.77%,1.66%
16926,Jeancharles,1681,0.89%,93.58%,(S),(S),1.61%,3.27%
17142,Jerkins,1653,69.03%,26.38%,0.54%,0.54%,2.06%,1.45%
17159,Junkins,1651,90.67%,5.57%,0.55%,0.85%,1.21%,1.15%
17323,Jeffs,1632,96.69%,0.49%,(S),(S),0.86%,1.41%
17337,Jent,1630,95.83%,0.43%,1.17%,0.31%,1.17%,1.10%
17359,Javed,1627,6.52%,(S),88.38%,(S),2.64%,1.54%
17463,Joyal,1614,87.30%,(S),8.43%,(S),0.87%,3.16%
17521,Jeans,1608,69.90%,21.64%,2.05%,1.37%,2.61%,2.43%
17662,Jantzen,1590,95.41%,(S),0.75%,(S),1.07%,2.01%
17699,Justo,1585,11.36%,0.69%,15.02%,0.00%,0.76%,72.18%
17720,Jess,1582,90.64%,4.68%,0.95%,0.32%,1.64%,1.77%
17745,Jeremiah,1579,46.30%,32.24%,5.26%,2.98%,9.06%,4.18%
17809,Jervis,1572,78.37%,13.10%,0.64%,0.45%,1.78%,5.66%
17975,JeanFrançois,1554,1.09%,93.82%,(S),(S),2.38%,2.12%
18198,Journey,1529,69.39%,22.83%,0.92%,0.39%,3.14%,3.34%
18262,Jovanović,1521,96.65%,0.33%,(S),(S),0.99%,1.84%
18317,Jha,1513,2.25%,(S),94.98%,(S),2.05%,0.33%
18448,Jette,1500,90.67%,2.33%,1.07%,0.53%,2.80%,2.60%
18579,Jamil,1484,34.50%,2.36%,54.58%,(S),6.20%,(S)
18584,Junge,1483,96.16%,(S),0.54%,(S),0.74%,2.02%
18596,Janvier,1482,11.07%,83.87%,0.47%,0.00%,1.35%,3.24%
18751,Jansson,1463,92.07%,1.16%,0.96%,0.55%,2.32%,2.94%
18766,Jobes,1461,91.03%,5.27%,0.34%,0.34%,1.78%,1.23%
19004,Joly,1434,79.29%,15.13%,1.53%,0.42%,1.05%,2.58%
19019,Jenny,1432,87.08%,(S),4.26%,(S),2.16%,4.19%
19053,Jock,1429,81.81%,5.11%,1.82%,7.63%,1.75%,1.89%
19087,Joel,1426,61.08%,11.50%,14.59%,0.63%,2.73%,9.47%
19105,Jew,1424,7.72%,(S),79.14%,(S),5.62%,4.21%
19123,Jackowski,1422,95.08%,(S),0.49%,(S),0.98%,2.95%
19131,Jacquet,1421,41.24%,51.16%,0.56%,0.56%,2.96%,3.52%
19282,Jakes,1405,48.54%,45.05%,(S),(S),1.57%,4.06%
19282,Jolin,1405,91.25%,2.63%,1.57%,1.00%,0.64%,2.92%
19306,Jarreau,1402,80.17%,16.19%,(S),(S),2.21%,0.78%
19348,Jeppesen,1398,95.71%,(S),(S),0.43%,0.57%,2.65%
19398,Jenness,1393,95.62%,(S),(S),0.86%,1.29%,1.51%
19398,Jue,1393,7.32%,(S),79.25%,(S),8.69%,4.31%
19416,Jean-Jacques,1392,1.01%,94.04%,(S),(S),2.44%,1.94%
19489,Jahan,1386,6.71%,(S),88.60%,0.72%,3.46%,(S)
19551,Jeppson,1381,94.06%,0.51%,0.43%,0.51%,1.74%,2.75%
19654,Jen,1371,11.09%,4.23%,79.14%,0.36%,4.23%,0.95%
19796,Jolicur,1359,73.88%,21.93%,(S),(S),1.18%,1.84%
19878,Jacobowitz,1352,97.26%,(S),(S),0.00%,0.44%,1.85%
19997,Jeansonne,1339,97.68%,0.45%,(S),(S),(S),1.12%
20285,Jenne,1311,94.51%,(S),1.60%,(S),1.07%,1.75%
20299,Juhász,1310,93.97%,(S),0.99%,(S),2.06%,2.60%
20421,Justis,1301,91.85%,3.61%,0.54%,0.46%,1.84%,1.69%
20491,Jeanes,1295,76.68%,12.36%,0.85%,(S),(S),9.19%
20512,Jafri,1293,5.26%,(S),89.87%,(S),3.40%,0.70%
20617,Jespersen,1285,95.64%,0.47%,(S),(S),0.93%,2.33%
20648,Jimison,1282,69.50%,21.92%,0.94%,0.86%,4.45%,2.34%
20818,Joye,1268,77.44%,14.91%,1.18%,1.10%,1.42%,3.94%
20971,Johal,1255,3.19%,0.88%,92.27%,0.40%,2.15%,1.12%
21068,Jagger,1247,93.42%,1.36%,(S),(S),1.36%,2.49%
21119,Joos,1243,95.74%,(S),(S),(S),0.56%,3.22%
21119,Junkin,1243,94.93%,(S),(S),(S),1.05%,3.30%
21144,Jeune,1242,12.80%,83.25%,0.00%,0.56%,2.01%,1.37%
21173,Jarvi,1240,97.42%,(S),(S),0.00%,0.89%,1.37%
