Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
8449,Mier,3910,43.45%,0.61%,2.76%,0.38%,1.48%,51.30%
8449,Morano,3910,72.79%,0.92%,3.30%,0.38%,1.66%,20.95%
8456,Maiden,3905,61.64%,32.78%,0.51%,0.44%,1.95%,2.69%
8473,Metts,3896,80.52%,15.58%,0.44%,0.62%,1.18%,1.67%
8478,Matute,3892,3.93%,2.13%,2.67%,(S),(S),90.65%
8485,Mazzola,3885,95.19%,0.33%,0.59%,0.15%,0.85%,2.88%
8501,Mefford,3875,92.59%,0.65%,0.28%,1.24%,2.45%,2.79%
8523,Marvel,3862,90.42%,3.55%,1.11%,0.67%,1.94%,2.30%
8526,Mathers,3860,92.07%,3.16%,0.70%,0.67%,1.40%,1.99%
8529,Moretti,3858,92.66%,0.36%,0.57%,0.23%,1.24%,4.92%
8532,Mannino,3857,94.19%,1.01%,0.44%,0.18%,0.75%,3.42%
8547,McGann,3853,89.20%,5.48%,0.73%,0.39%,1.43%,2.78%
8547,McElhaney,3853,86.63%,6.88%,0.57%,1.56%,2.08%,2.28%
8562,Manrique,3847,7.25%,0.60%,3.98%,(S),(S),87.52%
8572,Merryman,3843,93.36%,0.86%,0.34%,1.25%,2.08%,2.11%
8590,Millett,3834,89.75%,4.51%,0.65%,0.55%,1.75%,2.79%
8602,Mitchum,3827,75.05%,20.77%,0.42%,0.63%,1.33%,1.80%
8606,McGowen,3825,76.65%,18.09%,0.34%,0.99%,1.41%,2.51%
8611,McGrady,3819,83.06%,12.86%,0.34%,0.42%,1.60%,1.73%
8617,Marrone,3818,93.45%,(S),0.50%,(S),0.73%,4.82%
8617,Mellinger,3818,95.47%,0.37%,0.65%,0.29%,1.36%,1.86%
8639,McSweeney,3807,93.22%,2.05%,0.39%,0.29%,1.10%,2.94%
8668,Merkle,3791,95.28%,0.32%,0.79%,0.40%,0.98%,2.24%
8669,McKim,3790,92.11%,1.77%,0.77%,0.71%,1.72%,2.93%
8669,Murdoch,3790,93.03%,1.56%,0.77%,0.42%,1.50%,2.72%
8676,McGaha,3787,86.90%,8.34%,0.48%,0.66%,1.69%,1.93%
8690,Millican,3779,90.58%,4.18%,0.61%,0.71%,0.85%,3.07%
8718,Ming,3764,49.63%,19.58%,21.63%,0.80%,4.54%,3.83%
8741,Massé,3753,86.52%,6.53%,0.93%,0.45%,1.33%,4.24%
8743,Mui,3752,3.38%,(S),92.64%,(S),1.95%,1.33%
